UP_id	tax_group
UniRef50_A0A0P0YN61	Viruses
UniRef50_A0A0P0YN72	Viruses
UniRef50_A0A0P0YNA6	Viruses
UniRef50_A0A0P0YND2	Viruses
UniRef50_A0A0P0YNJ8	Viruses
UniRef50_A0A0P0YNT7	Viruses
UniRef50_A0A0P1EPQ8	Bacteria
UniRef50_A0A0P1F0G2	Bacteria
UniRef50_A0A0P1FFP1	Bacteria
UniRef50_A0A0P1FGL9	Bacteria
UniRef50_A0A0P1MMM0	Bacteria
UniRef50_A0A0P4URX5	Bacteria
UniRef50_A0A0P5ERZ3	Eukaryota
UniRef50_A0A0P6XHL2	Bacteria
UniRef50_A0A0P7B4R6	Bacteria
UniRef50_A0A0P7H1L8	Archaea
UniRef50_A0A0P7WAF6	Bacteria
UniRef50_A0A0P7YMQ9	Bacteria
UniRef50_A0A0P7YNZ3	Bacteria
UniRef50_A0A0P7ZE85	Bacteria
UniRef50_A0A0P8A0L7	Bacteria
UniRef50_A0A0P8WCM1	Bacteria
UniRef50_A0A0P9A6E7	Bacteria
UniRef50_A0A0P9AM72	Bacteria
UniRef50_A0A0P9AXC7	Bacteria
UniRef50_A0A0P9CNY4	Bacteria
UniRef50_A0A0P9D026	Bacteria
UniRef50_A0A0P9DBC0	Bacteria
UniRef50_A0A0P9DD71	Bacteria
UniRef50_A0A0P9DFA0	Bacteria
UniRef50_A0A0P9EGI8	Bacteria
UniRef50_A0A0P9EHH1	Bacteria
UniRef50_A0A0P9F1E3	Bacteria
UniRef50_A0A0P9H5N1	Bacteria
UniRef50_A0A0P9KBZ6	Bacteria
UniRef50_A0A0Q0C3N9	Bacteria
UniRef50_A0A0Q0JME9	Bacteria
UniRef50_A0A0Q0VIN8	Archaea
UniRef50_A0A0Q0YKN5	Bacteria
UniRef50_A0A0Q0Z2A5	Bacteria
UniRef50_A0A0Q1AJQ6	Archaea
UniRef50_A0A0Q2YW48	Bacteria
UniRef50_A0A0Q3I506	Bacteria
UniRef50_A0A0Q3TB03	Bacteria
UniRef50_A0A0Q4B6V8	Bacteria
UniRef50_A0A0Q4F902	Bacteria
UniRef50_A0A0Q4FNS6	Bacteria
UniRef50_A0A0Q4FWL7	Bacteria
UniRef50_A0A0Q4KU96	Bacteria
UniRef50_A0A0Q4NJE4	Bacteria
UniRef50_A0A0Q4NW08	Bacteria
UniRef50_A0A0Q4PDQ2	Bacteria
UniRef50_A0A0Q4TEZ8	Bacteria
UniRef50_A0A0Q5CI82	Bacteria
UniRef50_A0A0Q5DMK0	Bacteria
UniRef50_A0A0Q5GXY4	Bacteria
UniRef50_A0A0Q5H8D6	Bacteria
UniRef50_A0A0Q5LDR9	Bacteria
UniRef50_A0A0Q5QH25	Bacteria
UniRef50_A0A0Q5ZGT5	Bacteria
UniRef50_A0A0Q6BM67	Bacteria
UniRef50_A0A0Q6C2V9	Bacteria
UniRef50_A0A0Q6C345	Bacteria
UniRef50_A0A0Q6H954	Bacteria
UniRef50_A0A0Q6KW12	Bacteria
UniRef50_A0A0Q6RPC5	Bacteria
UniRef50_A0A0Q6RT51	Bacteria
UniRef50_A0A0Q6RY62	Bacteria
UniRef50_A0A0Q6XVY2	Bacteria
UniRef50_A0A0Q6ZD92	Bacteria
UniRef50_A0A0Q7F4N4	Bacteria
UniRef50_A0A0Q7VLT2	Bacteria
UniRef50_A0A0Q8B734	Bacteria
UniRef50_A0A0Q8BR13	Bacteria
UniRef50_A0A0Q8FQY3	Bacteria
UniRef50_A0A0Q8N3Q7	Bacteria
UniRef50_A0A0Q8QGU1	Bacteria
UniRef50_A0A0Q9EVV2	Bacteria
UniRef50_A0A0Q9F4Y6	Bacteria
UniRef50_A0A0Q9HM63	Bacteria
UniRef50_A0A0Q9N802	Bacteria
UniRef50_A0A0Q9Q8B0	Bacteria
UniRef50_A0A0Q9YYT9	Bacteria
UniRef50_A0A0R0C3G9	Bacteria
UniRef50_A0A0R0CH79	Bacteria
UniRef50_A0A0R0CQX9	Bacteria
UniRef50_A0A0R1HGQ7	Bacteria
UniRef50_A0A0R1KHI6	Bacteria
UniRef50_A0A0R2G3Z7	Bacteria
UniRef50_A0A0R2Q948	Bacteria
UniRef50_A0A0R2QI18	Bacteria
UniRef50_A0A0R2QJY9	Bacteria
UniRef50_A0A0R2QVP9	Bacteria
UniRef50_A0A0R2QYN2	Bacteria
UniRef50_A0A0R2RAZ3	Bacteria
UniRef50_A0A0R2RCH2	Bacteria
UniRef50_A0A0R2RGP6	Bacteria
UniRef50_A0A0R2RGT9	Bacteria
UniRef50_A0A0R2RJQ4	Bacteria
UniRef50_A0A0R2SXY3	Bacteria
UniRef50_A0A0R2X1C8	Bacteria
UniRef50_A0A0R2X606	Bacteria
UniRef50_A0A0R2X6B5	Bacteria
UniRef50_A0A0R2X776	Bacteria
UniRef50_A0A0R2X929	Bacteria
UniRef50_A0A0R2XBU8	Bacteria
UniRef50_A0A0R2XDC0	Bacteria
UniRef50_A0A0R2XDD1	Bacteria
UniRef50_A0A0R2XDW7	Bacteria
UniRef50_A0A0R2XE47	Bacteria
UniRef50_A0A0R2XEZ2	Bacteria
UniRef50_A0A0R2XI57	Bacteria
UniRef50_A0A0R3D6U8	Bacteria
UniRef50_A0A0R3DCL2	Bacteria
UniRef50_A0A0R3DN38	Bacteria
UniRef50_A0A0R3E873	Bacteria
UniRef50_A0A0R3ELY9	Bacteria
UniRef50_A0A0R3MW78	Bacteria
UniRef50_A0A0R3Q2Y6	Eukaryota
UniRef50_A0A0R3Q2Z2	Eukaryota
UniRef50_A0A0R3QEC1	Eukaryota
UniRef50_A0A0R3QIY6	Eukaryota
UniRef50_A0A0R3TQ85	Eukaryota
UniRef50_A0A0S0MVB1	Viruses
UniRef50_A0A0S0MVL0	Viruses
UniRef50_A0A0S1SHE2	Bacteria
UniRef50_A0A0S1WEN4	Viruses
UniRef50_A0A0S2EWB6	Bacteria
UniRef50_A0A0S2FXG0	Bacteria
UniRef50_A0A0S2I4D9	Bacteria
UniRef50_A0A0S2QDQ6	Eukaryota
UniRef50_A0A0S3TLW4	Bacteria
UniRef50_A0A0S3U893	Bacteria
UniRef50_A0A0S4LKC3	Bacteria
UniRef50_A0A0S4PAP6	Bacteria
UniRef50_A0A0S4VLV0	Bacteria
UniRef50_A0A0S6UET2	Bacteria
UniRef50_A0A0S6XIL7	Eukaryota
UniRef50_A0A0S7M9X6	Eukaryota
UniRef50_A0A0S7WQ45	Bacteria
UniRef50_A0A0S7X994	Bacteria
UniRef50_A0A0S7XAF7	Bacteria
UniRef50_A0A0S7XLW0	Bacteria
UniRef50_A0A0S7XVN0	Bacteria
UniRef50_A0A0S7XZ70	Bacteria
UniRef50_A0A0S7ZF99	Bacteria
UniRef50_A0A0S7ZG58	Bacteria
UniRef50_A0A0S7ZS31	Bacteria
UniRef50_A0A0S8A946	Bacteria
UniRef50_A0A0S8ADJ8	Bacteria
UniRef50_A0A0S8BD35	Bacteria
UniRef50_A0A0S8BEA1	Bacteria
UniRef50_A0A0S8BF51	Bacteria
UniRef50_A0A0S8CJ19	Bacteria
UniRef50_A0A0S8DLW2	Bacteria
UniRef50_A0A0S8DMM4	Bacteria
UniRef50_A0A0S8DNI2	Bacteria
UniRef50_A0A0S8DSB9	Bacteria
UniRef50_A0A0S8E1J6	Bacteria
UniRef50_A0A0S8E5K1	Bacteria
UniRef50_A0A0S8E967	Bacteria
UniRef50_A0A0S8F1F8	Bacteria
UniRef50_A0A0S8F1G5	Bacteria
UniRef50_A0A0S8FM45	Bacteria
UniRef50_A0A0S8G1T6	Bacteria
UniRef50_A0A0S8G5H2	Bacteria
UniRef50_A0A0S8G6F7	Bacteria
UniRef50_A0A0S8GFL0	Bacteria
UniRef50_A0A0S8GGI0	Bacteria
UniRef50_A0A0S8GGW3	Bacteria
UniRef50_A0A0S8GL14	Bacteria
UniRef50_A0A0S8GP58	Bacteria
UniRef50_A0A0S8GRD8	Bacteria
UniRef50_A0A0S8HR11	Bacteria
UniRef50_A0A0S8I4D9	Bacteria
UniRef50_A0A0S8I566	Bacteria
UniRef50_A0A0S8JEZ6	Bacteria
UniRef50_A0A0S8JGD8	Bacteria
UniRef50_A0A0S8JTH2	Bacteria
UniRef50_A0A0S8L1S8	Bacteria
UniRef50_A0A0S9MUM0	Bacteria
UniRef50_A0A0S9MX19	Bacteria
UniRef50_A0A0S9PX50	Bacteria
UniRef50_A0A0S9PZG1	Bacteria
UniRef50_A0A0S9Q0X0	Bacteria
UniRef50_A0A0S9QWA3	Bacteria
UniRef50_A0A0S9RHU5	Bacteria
UniRef50_A0A0S9SEC3	Bacteria
UniRef50_A0A0T5NXJ8	Bacteria
UniRef50_A0A0T5P372	Bacteria
UniRef50_A0A0T5PP03	Bacteria
UniRef50_A0A0T5ZPY2	Bacteria
UniRef50_A0A0T5ZTW9	Bacteria
UniRef50_A0A0T5ZZI7	Bacteria
UniRef50_A0A0T6A2X1	Bacteria
UniRef50_A0A0T7FBA3	Bacteria
UniRef50_A0A0T7K0P4	Bacteria
UniRef50_A0A0T7Z2L7	Bacteria
UniRef50_A0A0T7Z3H0	Bacteria
UniRef50_A0A0T7Z578	Bacteria
UniRef50_A0A0T9LA19	Bacteria
UniRef50_A0A0T9R6B6	Bacteria
UniRef50_A0A0T9RJS3	Bacteria
UniRef50_A0A0T9RLB7	Bacteria
UniRef50_A0A0U1DJB7	Bacteria
UniRef50_A0A0U1HCV9	Bacteria
UniRef50_A0A0U1HX16	Bacteria
UniRef50_A0A0U2IM79	Bacteria
UniRef50_A0A0U2U395	Bacteria
UniRef50_A0A0U2YFM4	Bacteria
UniRef50_A0A0U3AHK0	Bacteria
UniRef50_A0A0U3CC49	Viruses
UniRef50_A0A0U3DIW0	Viruses
UniRef50_A0A0U3ECS3	Viruses
UniRef50_A0A0U3J0I9	Bacteria
UniRef50_A0A0U4AN71	Bacteria
UniRef50_A0A0U4BRK9	Bacteria
UniRef50_A0A0U4HN41	Bacteria
UniRef50_A0A0U4INR8	Viruses
UniRef50_A0A0U4IVL5	Bacteria
UniRef50_A0A0U5EVA0	Bacteria
UniRef50_A0A0U5M6E5	Bacteria
UniRef50_A0A0U5M8E8	Bacteria
UniRef50_A0A0U5MDE6	Bacteria
UniRef50_A0A0U5MJ30	Bacteria
UniRef50_A0A0U9HZG7	Bacteria
UniRef50_A0A0V0PWC2	Bacteria
UniRef50_A0A0V0QW94	Eukaryota
UniRef50_A0A0V0Z7B5	Eukaryota
UniRef50_A0A0V0ZU07	Eukaryota
UniRef50_A0A0V1AQE7	Eukaryota
UniRef50_A0A0V1GQM0	Eukaryota
UniRef50_A0A0V7ZT80	Bacteria
UniRef50_A0A0V8JRT4	Bacteria
UniRef50_A0A0W0H2T2	Bacteria
UniRef50_A0A0W0R233	Bacteria
UniRef50_A0A0W0S0Q5	Bacteria
UniRef50_A0A0W0UN66	Bacteria
UniRef50_A0A0W0WBG8	Bacteria
UniRef50_A0A0W0WCD9	Bacteria
UniRef50_A0A0W0WWU2	Bacteria
UniRef50_A0A0W0ZJN8	Bacteria
UniRef50_A0A0W1JQ17	Bacteria
UniRef50_A0A0W7TNW5	Bacteria
UniRef50_A0A0W8CJQ4	Eukaryota
UniRef50_A0A0W8CXB8	Eukaryota
UniRef50_A0A0W8D6Y3	Eukaryota
UniRef50_A0A0W8EJ79	Bacteria
UniRef50_A0A0X3QMP3	Bacteria
UniRef50_A0A0X3YBD6	Bacteria
UniRef50_A0A0X7BD48	Bacteria
UniRef50_A0A0X8JNI3	Bacteria
UniRef50_A0A0X8WPF2	Viruses
UniRef50_A0A0X8WRJ0	Bacteria
UniRef50_A0A0X8WS89	Bacteria
UniRef50_A0A0X8WWU5	Bacteria
UniRef50_A0A0X8XBZ2	Viruses
UniRef50_A0A0X8XC76	Viruses
UniRef50_A0A0X8XDE7	Viruses
UniRef50_A0A0X8XE26	Viruses
UniRef50_A0A0Z8ETW6	Bacteria
UniRef50_A0A100HWC1	Bacteria
UniRef50_A0A100JLT5	Bacteria
UniRef50_A0A101DYI2	Archaea
UniRef50_A0A101EMD2	Archaea
UniRef50_A0A101G794	Bacteria
UniRef50_A0A101GZM9	Bacteria
UniRef50_A0A101I3G3	Bacteria
UniRef50_A0A101IPJ1	Bacteria
UniRef50_A0A101JYS4	Bacteria
UniRef50_A0A101VES2	Bacteria
UniRef50_A0A103QVY8	Bacteria
UniRef50_A0A105KTG3	Bacteria
UniRef50_A0A106BPD3	Bacteria
UniRef50_A0A106QD71	Bacteria
UniRef50_A0A109BP55	Bacteria
UniRef50_A0A109D337	Bacteria
UniRef50_A0A109E1S6	Bacteria
UniRef50_A0A109HRW1	Bacteria
UniRef50_A0A109J7M5	Bacteria
UniRef50_A0A109P2P5	Bacteria
UniRef50_A0A109UKP3	Bacteria
UniRef50_A0A109W489	Bacteria
UniRef50_A0A110B2Z5	Viruses
UniRef50_A0A110B6F1	Viruses
UniRef50_A0A117LI65	Bacteria
UniRef50_A0A117M5T1	Bacteria
UniRef50_A0A117ME06	Bacteria
UniRef50_A0A117ME92	Bacteria
UniRef50_A0A117UWH0	Bacteria
UniRef50_A0A117VHI8	Bacteria
UniRef50_A0A119CYB4	Bacteria
UniRef50_A0A120CXB7	Bacteria
UniRef50_A0A120CYD9	Bacteria
UniRef50_A0A120DES1	Bacteria
UniRef50_A0A120MH66	Bacteria
UniRef50_A0A120MVJ7	Bacteria
UniRef50_A0A120N0C0	Viruses
UniRef50_A0A124E255	Bacteria
UniRef50_A0A124IA50	Bacteria
UniRef50_A0A125DM98	Bacteria
UniRef50_A0A126P7E7	Bacteria
UniRef50_A0A126PAI1	Bacteria
UniRef50_A0A126QM35	Bacteria
UniRef50_A0A126RAI0	Bacteria
UniRef50_A0A126RMA7	Bacteria
UniRef50_A0A126S1Z7	Bacteria
UniRef50_A0A126ZI23	Bacteria
UniRef50_A0A127CHI9	Bacteria
UniRef50_A0A127EV18	Bacteria
UniRef50_A0A127K390	Bacteria
UniRef50_A0A127K3T3	Bacteria
UniRef50_A0A127KL91	Viruses
UniRef50_A0A127KLR6	Viruses
UniRef50_A0A128A353	Archaea
UniRef50_A0A131YPE6	Eukaryota
UniRef50_A0A132BUP7	Bacteria
UniRef50_A0A132GPZ6	Bacteria
UniRef50_A0A132H9P5	Bacteria
UniRef50_A0A132PR62	Bacteria
UniRef50_A0A133Q4V5	Bacteria
UniRef50_A0A133VHF1	Archaea
UniRef50_A0A133VPL1	Archaea
UniRef50_A0A133XSU7	Bacteria
UniRef50_A0A133XUX7	Bacteria
UniRef50_A0A133Y2A3	Bacteria
