UP_id	tax_group
UniRef50_A0A6C0E5V0	unclassified
UniRef50_A0A6C0E5X0	unclassified
UniRef50_A0A6C0E612	unclassified
UniRef50_A0A6C0E661	unclassified
UniRef50_A0A6C0E6D3	unclassified
UniRef50_A0A6C0E6K3	unclassified
UniRef50_A0A6C0E6T1	unclassified
UniRef50_A0A6C0E6V4	unclassified
UniRef50_A0A6C0E760	unclassified
UniRef50_A0A6C0E8Z1	unclassified
UniRef50_A0A6C0E9G4	unclassified
UniRef50_A0A6C0E9Y2	unclassified
UniRef50_A0A6C0EDN4	unclassified
UniRef50_A0A6C0EE39	unclassified
UniRef50_A0A6C0EFE0	unclassified
UniRef50_A0A6C0EGA6	unclassified
UniRef50_A0A6C0EJH2	unclassified
UniRef50_A0A6C0EJP3	unclassified
UniRef50_A0A6C0EKQ5	unclassified
UniRef50_A0A6C0ELC1	unclassified
UniRef50_A0A6C0ELD9	unclassified
UniRef50_A0A6C0ELL2	unclassified
UniRef50_A0A6C0ELY5	unclassified
UniRef50_A0A6C0EM86	unclassified
UniRef50_A0A6C0ENR3	unclassified
UniRef50_A0A6C0EP46	unclassified
UniRef50_A0A6C0EPD7	unclassified
UniRef50_A0A6C0EPM1	unclassified
UniRef50_A0A6C0EQ19	unclassified
UniRef50_A0A6C0EQ29	unclassified
UniRef50_A0A6C0EQ81	unclassified
UniRef50_A0A6C0EQH8	unclassified
UniRef50_A0A6C0EQL7	unclassified
UniRef50_A0A6C0EQP7	unclassified
UniRef50_A0A6C0EQT7	unclassified
UniRef50_A0A6C0EQV7	unclassified
UniRef50_A0A6C0ER36	unclassified
UniRef50_A0A6C0ERN5	unclassified
UniRef50_A0A6C0ESC7	unclassified
UniRef50_A0A6C0EU30	unclassified
UniRef50_A0A6C0EUA7	unclassified
UniRef50_A0A6C0EUD9	unclassified
UniRef50_A0A6C0EUG5	unclassified
UniRef50_A0A6C0EUQ7	unclassified
UniRef50_A0A6C0EV21	unclassified
UniRef50_A0A6C0EVD4	unclassified
UniRef50_A0A6C0EVE1	unclassified
UniRef50_A0A6C0EVJ7	unclassified
UniRef50_A0A6C0EVP1	unclassified
UniRef50_A0A6C0EVS3	unclassified
UniRef50_A0A6C0EVZ0	unclassified
UniRef50_A0A6C0EVZ4	unclassified
UniRef50_A0A6C0EW20	unclassified
UniRef50_A0A6C0EW49	unclassified
UniRef50_A0A6C0EWA3	unclassified
UniRef50_A0A6C0EWH1	unclassified
UniRef50_A0A6C0EWH3	unclassified
UniRef50_A0A6C0EWP0	unclassified
UniRef50_A0A6C0EWV4	unclassified
UniRef50_A0A6C0EWX5	unclassified
UniRef50_A0A6C0EWZ0	unclassified
UniRef50_A0A6C0EX05	unclassified
UniRef50_A0A6C0EX31	unclassified
UniRef50_A0A6C0EX36	unclassified
UniRef50_A0A6C0EX84	unclassified
UniRef50_A0A6C0EXA7	unclassified
UniRef50_A0A6C0EXE7	unclassified
UniRef50_A0A6C0EXK8	unclassified
UniRef50_A0A6C0EXS6	unclassified
UniRef50_A0A6C0EY50	unclassified
UniRef50_A0A6C0EYF3	unclassified
UniRef50_A0A6C0EYL2	unclassified
UniRef50_A0A6C0EYP1	unclassified
UniRef50_A0A6C0EYR1	unclassified
UniRef50_A0A6C0EYX7	unclassified
UniRef50_A0A6C0EZ46	unclassified
UniRef50_A0A6C0EZ97	unclassified
UniRef50_A0A6C0EZG1	unclassified
UniRef50_A0A6C0EZG6	unclassified
UniRef50_A0A6C0EZP0	unclassified
UniRef50_A0A6C0EZP5	unclassified
UniRef50_A0A6C0EZS5	unclassified
UniRef50_A0A6C0EZW7	unclassified
UniRef50_A0A6C0F016	unclassified
UniRef50_A0A6C0F093	unclassified
UniRef50_A0A6C0F0D4	unclassified
UniRef50_A0A6C0F0E8	unclassified
UniRef50_A0A6C0F0L0	unclassified
UniRef50_A0A6C0F0Q7	unclassified
UniRef50_A0A6C0F0V4	unclassified
UniRef50_A0A6C0F0V9	unclassified
UniRef50_A0A6C0F150	unclassified
UniRef50_A0A6C0F1C9	unclassified
UniRef50_A0A6C0F1R8	unclassified
UniRef50_A0A6C0F1R9	unclassified
UniRef50_A0A6C0F1T9	unclassified
UniRef50_A0A6C0F1V8	unclassified
UniRef50_A0A6C0F1Y8	unclassified
UniRef50_A0A6C0F1Z0	unclassified
UniRef50_A0A6C0F223	unclassified
UniRef50_A0A6C0F226	unclassified
UniRef50_A0A6C0F257	unclassified
UniRef50_A0A6C0F2E7	unclassified
UniRef50_A0A6C0F2I1	unclassified
UniRef50_A0A6C0F2I9	unclassified
UniRef50_A0A6C0F2K5	unclassified
UniRef50_A0A6C0F2M8	unclassified
UniRef50_A0A6C0F2P2	unclassified
UniRef50_A0A6C0F2S1	unclassified
UniRef50_A0A6C0F2T8	unclassified
UniRef50_A0A6C0F318	unclassified
UniRef50_A0A6C0F329	unclassified
UniRef50_A0A6C0F3D5	unclassified
UniRef50_A0A6C0F424	unclassified
UniRef50_A0A6C0F4P1	unclassified
UniRef50_A0A6C0F4U4	unclassified
UniRef50_A0A6C0F575	unclassified
UniRef50_A0A6C0F578	unclassified
UniRef50_A0A6C0F5S4	unclassified
UniRef50_A0A6C0F5T3	unclassified
UniRef50_A0A6C0F636	unclassified
UniRef50_A0A6C0F7E7	unclassified
UniRef50_A0A6C0F7I3	unclassified
UniRef50_A0A6C0F7W0	unclassified
UniRef50_A0A6C0F850	unclassified
UniRef50_A0A6C0F8A6	unclassified
UniRef50_A0A6C0F911	unclassified
UniRef50_A0A6C0F918	unclassified
UniRef50_A0A6C0F9C3	unclassified
UniRef50_A0A6C0F9N0	unclassified
UniRef50_A0A6C0FA11	unclassified
UniRef50_A0A6C0FA82	unclassified
UniRef50_A0A6C0FBG4	unclassified
UniRef50_A0A6C0FBS4	unclassified
UniRef50_A0A6C0GK79	Bacteria
UniRef50_A0A6C0GQS9	Bacteria
UniRef50_A0A6C0GSW9	Bacteria
UniRef50_A0A6C0GZ98	unclassified
UniRef50_A0A6C0GZN8	unclassified
UniRef50_A0A6C0H062	unclassified
UniRef50_A0A6C0H0M8	unclassified
UniRef50_A0A6C0H0Y1	unclassified
UniRef50_A0A6C0H121	unclassified
UniRef50_A0A6C0H1F7	unclassified
UniRef50_A0A6C0H2H6	unclassified
UniRef50_A0A6C0H2R3	unclassified
UniRef50_A0A6C0H2W6	unclassified
UniRef50_A0A6C0H376	unclassified
