UP_id	tax_group
UniRef50_H0SKE6	Bacteria
UniRef50_H0TCG0	Bacteria
UniRef50_H0TH41	Bacteria
UniRef50_H0THA5	Bacteria
UniRef50_H0TLI9	Bacteria
UniRef50_H0TYL7	Bacteria
UniRef50_H0WSL5	Eukaryota
UniRef50_H0XHL0	Eukaryota
UniRef50_H1BHS0	Bacteria
UniRef50_H1CYZ0	Bacteria
UniRef50_H1D5H0	Bacteria
UniRef50_H1D9V7	Bacteria
UniRef50_H1G519	Bacteria
UniRef50_H1G5G4	Bacteria
UniRef50_H1G7J5	Bacteria
UniRef50_H1KC43	Bacteria
UniRef50_H1KCB6	Bacteria
UniRef50_H1LBQ1	Bacteria
UniRef50_H1PQJ8	Bacteria
UniRef50_H1PVU3	Bacteria
UniRef50_H1SJ20	Bacteria
UniRef50_H1VMN1	Eukaryota
UniRef50_H1WDF5	Bacteria
UniRef50_H1WFJ9	Bacteria
UniRef50_H1WIR6	Bacteria
UniRef50_H1XPX3	Bacteria
UniRef50_H1XTG2	Bacteria
UniRef50_H1Y8T4	Bacteria
UniRef50_H1YAX2	Bacteria
UniRef50_H1YAZ0	Bacteria
UniRef50_H1Z348	Archaea
UniRef50_H1Z754	Bacteria
UniRef50_H2A0E8	Viruses
UniRef50_H2AVH7	Eukaryota
UniRef50_H2BCR2	Viruses
UniRef50_H2BCV6	Viruses
UniRef50_H2BD43	Viruses
UniRef50_H2BDF9	Viruses
UniRef50_H2BDJ0	Viruses
UniRef50_H2BVN7	Bacteria
UniRef50_H2CFG9	Bacteria
UniRef50_H2CYE6	Bacteria
UniRef50_H2EE25	Viruses
UniRef50_H2EG23	Viruses
UniRef50_H2EI44	Viruses
UniRef50_H2FX02	Bacteria
UniRef50_H2FX31	Bacteria
UniRef50_H2J720	Bacteria
UniRef50_H2JEL8	Bacteria
UniRef50_H2JEP8	Bacteria
UniRef50_H2JEW7	Bacteria
UniRef50_H2N9L8	Eukaryota
