UP_id	tax_group
UniRef50_W4TGY6	Bacteria
UniRef50_W4TH84	Bacteria
UniRef50_W4THP3	Bacteria
UniRef50_W4THQ3	Bacteria
UniRef50_W4THU6	Bacteria
UniRef50_W4TI28	Bacteria
UniRef50_W4TIA0	Bacteria
UniRef50_W4TIB7	Bacteria
UniRef50_W4TIC3	Bacteria
UniRef50_W4TIH4	Bacteria
UniRef50_W4TIR4	Bacteria
UniRef50_W4TJ89	Bacteria
UniRef50_W4TJG9	Bacteria
UniRef50_W4TKA6	Bacteria
UniRef50_W4TKF9	Bacteria
UniRef50_W4TKH4	Bacteria
UniRef50_W4TLW5	Bacteria
UniRef50_W4TM22	Bacteria
UniRef50_W4TM75	Bacteria
UniRef50_W4TM91	Bacteria
UniRef50_W4TN15	Bacteria
UniRef50_W4TNX4	Bacteria
UniRef50_W4TPM1	Bacteria
UniRef50_W4TQD1	Bacteria
UniRef50_W4TQF9	Bacteria
UniRef50_W4TQQ1	Bacteria
UniRef50_W4TQW3	Bacteria
UniRef50_W4TQY9	Bacteria
UniRef50_W4TQZ4	Bacteria
UniRef50_W4TR63	Bacteria
UniRef50_W4TRA9	Bacteria
UniRef50_W4TRD6	Bacteria
UniRef50_W4TRU1	Bacteria
UniRef50_W4TS15	Bacteria
UniRef50_W4TS97	Bacteria
UniRef50_W4TST4	Bacteria
UniRef50_W4TSV8	Bacteria
UniRef50_W4TTC0	Bacteria
UniRef50_W4TTF6	Bacteria
UniRef50_W4TTQ8	Bacteria
UniRef50_W4TUA6	Bacteria
UniRef50_W4TUQ1	Bacteria
UniRef50_W4TUV7	Bacteria
UniRef50_W4TV12	Bacteria
UniRef50_W4TVA6	Bacteria
UniRef50_W4TVA9	Bacteria
UniRef50_W4TVB7	Bacteria
UniRef50_W4TVP6	Bacteria
UniRef50_W4TVT0	Bacteria
UniRef50_W4TW79	Bacteria
UniRef50_W4TWA1	Bacteria
UniRef50_W4TWD7	Bacteria
UniRef50_W4TWE3	Bacteria
UniRef50_W4TWH9	Bacteria
UniRef50_W4TWM5	Bacteria
UniRef50_W4TWY2	Bacteria
UniRef50_W4TX14	Bacteria
UniRef50_W4TXE8	Bacteria
UniRef50_W4TXI4	Bacteria
UniRef50_W4TXJ2	Bacteria
UniRef50_W4TXP5	Bacteria
UniRef50_W4TYI2	Bacteria
UniRef50_W4TYN7	Bacteria
UniRef50_W4TZ09	Bacteria
UniRef50_W4TZ29	Bacteria
UniRef50_W4TZ42	Bacteria
UniRef50_W4TZB2	Bacteria
UniRef50_W4TZF5	Bacteria
UniRef50_W4TZI4	Bacteria
UniRef50_W4TZK5	Bacteria
UniRef50_W4TZP3	Bacteria
UniRef50_W4TZR7	Bacteria
UniRef50_W4U059	Bacteria
UniRef50_W4U0C4	Bacteria
