UP_id	tax_group
UniRef50_V2HMI6	Bacteria
UniRef50_V3Z2C1	Eukaryota
UniRef50_V3Z4L8	Eukaryota
UniRef50_V3ZEH8	Eukaryota
UniRef50_V3ZPX2	Eukaryota
UniRef50_V4A9X6	Eukaryota
UniRef50_V4B0V1	Eukaryota
UniRef50_V4B7Y6	Eukaryota
UniRef50_V4B9J8	Eukaryota
UniRef50_V4BBT4	Eukaryota
UniRef50_V4BKU7	Eukaryota
UniRef50_V4BS74	Eukaryota
UniRef50_V4CMV5	Eukaryota
UniRef50_V4FC98	Bacteria
UniRef50_V4J1C6	Bacteria
UniRef50_V4N563	Bacteria
UniRef50_V4NFC0	Bacteria
UniRef50_V4YQR6	Bacteria
UniRef50_V4YT19	Bacteria
UniRef50_V4Z6Z1	Eukaryota
UniRef50_V5C9W1	Bacteria
UniRef50_V5ENF7	Bacteria
UniRef50_V5GPW5	Eukaryota
UniRef50_V5GT97	Eukaryota
UniRef50_V5JV95	Eukaryota
UniRef50_V5M556	Bacteria
UniRef50_V5Q8Y6	Viruses
UniRef50_V5Q9H0	Viruses
UniRef50_V5SET0	Bacteria
UniRef50_V5UTQ0	Viruses
UniRef50_V5V3H7	Bacteria
UniRef50_V6DIF1	Bacteria
UniRef50_V6Q6M9	Bacteria
UniRef50_V6Z566	Bacteria
UniRef50_V7CXW8	Eukaryota
UniRef50_V7DA39	Bacteria
UniRef50_V7DA55	Bacteria
UniRef50_V7HMD6	Bacteria
UniRef50_V7I5S9	Bacteria
UniRef50_V7PRH1	Eukaryota
UniRef50_V7PX86	Bacteria
UniRef50_V8NIV2	Eukaryota
UniRef50_V8NT17	Eukaryota
UniRef50_V8NWE7	Eukaryota
UniRef50_V8QN07	Bacteria
UniRef50_V8R666	Bacteria
UniRef50_V9GI48	Bacteria
UniRef50_V9H2B1	Bacteria
UniRef50_V9LZ18	Viruses
UniRef50_V9SGX7	Viruses
UniRef50_V9TTY2	Bacteria
UniRef50_V9WG26	Bacteria
UniRef50_V9WLR0	Bacteria
UniRef50_W0DJ53	Bacteria
UniRef50_W0E2U4	Bacteria
UniRef50_W0IEQ4	Bacteria
UniRef50_W0IXV6	Bacteria
UniRef50_W0IZQ3	Bacteria
UniRef50_W0JC26	Bacteria
UniRef50_W0SER3	Bacteria
UniRef50_W0SG08	Bacteria
UniRef50_W0XA70	Viruses
UniRef50_W0XA90	Viruses
UniRef50_W1I488	Bacteria
UniRef50_W1I4J2	Bacteria
UniRef50_W1KJ83	Bacteria
UniRef50_W1TZG0	Bacteria
UniRef50_W1UMP1	Bacteria
UniRef50_W1VQI6	Bacteria
UniRef50_W2E276	Bacteria
UniRef50_W2EWQ6	Bacteria
UniRef50_W2EZB5	Bacteria
UniRef50_W3REM5	Bacteria
UniRef50_W3RFH6	Bacteria
UniRef50_W4AIP2	Bacteria
UniRef50_W4L4Q0	Bacteria
UniRef50_W4L764	Bacteria
UniRef50_W4LD75	Bacteria
UniRef50_W4M3L7	Bacteria
UniRef50_W4Q0M0	Bacteria
UniRef50_W4QJ40	Bacteria
UniRef50_W4TE40	Bacteria
UniRef50_W4TET6	Bacteria
UniRef50_W4TGE7	Bacteria
UniRef50_W4TGY5	Bacteria
UniRef50_W4THE6	Bacteria
UniRef50_W4THK0	Bacteria
UniRef50_W4TI99	Bacteria
UniRef50_W4TIE9	Bacteria
UniRef50_W4TJT0	Bacteria
UniRef50_W4TKS9	Bacteria
UniRef50_W4TM65	Bacteria
UniRef50_W4TN30	Bacteria
UniRef50_W4TNT2	Bacteria
UniRef50_W4TP81	Bacteria
UniRef50_W4TPV8	Bacteria
UniRef50_W4TQ07	Bacteria
UniRef50_W4TRR7	Bacteria
UniRef50_W4TSD7	Bacteria
UniRef50_W4TSF1	Bacteria
UniRef50_W4TSW3	Bacteria
UniRef50_W4TSZ8	Bacteria
UniRef50_W4TT17	Bacteria
UniRef50_W4TT83	Bacteria
UniRef50_W4TTH0	Bacteria
UniRef50_W4TTX7	Bacteria
UniRef50_W4TV40	Bacteria
UniRef50_W4TVA4	Bacteria
UniRef50_W4TWJ8	Bacteria
UniRef50_W4TWR9	Bacteria
UniRef50_W4TX71	Bacteria
UniRef50_W4TXK7	Bacteria
UniRef50_W4TXM1	Bacteria
UniRef50_W4TXW9	Bacteria
UniRef50_W4TY83	Bacteria
UniRef50_W4U0M1	Bacteria
UniRef50_W4U0P4	Bacteria
UniRef50_W4U0P9	Bacteria
UniRef50_W4U1L2	Bacteria
UniRef50_W4U1N0	Bacteria
UniRef50_W4U2P1	Bacteria
UniRef50_W4U2Y8	Bacteria
UniRef50_W4U3H5	Bacteria
UniRef50_W4U3W1	Bacteria
UniRef50_W4U4G9	Bacteria
UniRef50_W4U4N3	Bacteria
UniRef50_W4U569	Bacteria
UniRef50_W4U5B5	Bacteria
UniRef50_W4U5H1	Bacteria
UniRef50_W4U5K1	Bacteria
UniRef50_W4U5V0	Bacteria
UniRef50_W4U642	Bacteria
UniRef50_W4U6K5	Bacteria
UniRef50_W4U6V4	Bacteria
UniRef50_W4U7Q8	Bacteria
UniRef50_W4U8N6	Bacteria
